brand,model,column,parameter,value,unit,source
Fazioli,стандарт,5,Штейнунг,47,мм,tmp_forss/crops/p1_right_table.png.tsv
Aug. Förster,стандарт,6,Штейнунг,45,мм,tmp_forss/crops/p1_right_table.png.tsv
Grotrian-Steinweg,стандарт,7a,Штейнунг,45,мм,tmp_forss/crops/p1_right_table.png.tsv
Bechstein,стандарт,2,Штейнунг,47,мм,tmp_forss/crops/p1_right_table.png.tsv
Baldwin,стандарт,1,Расстояние от гаммерштилей до польстера рулейстика,3.2,мм,tmp_forss/crops/p1_right_table.png.tsv
Bechstein,стандарт,2,Расстояние от гаммерштилей до польстера рулейстика,2-3,мм,tmp_forss/crops/p1_right_table.png.tsv
Bösendorfer,стандарт,4,Расстояние от гаммерштилей до польстера рулейстика,3,мм,tmp_forss/crops/p1_right_table.png.tsv
Aug. Förster,стандарт,6,Расстояние от гаммерштилей до польстера рулейстика,2-3,мм,tmp_forss/crops/p1_right_table.png.tsv
Grotrian-Steinweg,ранние механики,7b,Расстояние от гаммерштилей до польстера рулейстика,2,мм,tmp_forss/crops/p1_right_table.png.tsv
Baldwin,стандарт,1,Расстояние ауслезунга в басах,1.6,мм,tmp_forss/crops/p1_right_table.png.tsv
Bechstein,стандарт,2,Расстояние ауслезунга в басах,2,мм,tmp_forss/crops/p1_right_table.png.tsv
Blüthner,стандарт,3a,Расстояние ауслезунга в басах,3,мм,tmp_forss/crops/p1_right_table.png.tsv
Bösendorfer,стандарт,4,Расстояние ауслезунга в басах,1.5,мм,tmp_forss/crops/p1_right_table.png.tsv
Aug. Förster,стандарт,6,Расстояние ауслезунга в басах,2*,мм,tmp_forss/crops/p1_right_table.png.tsv
Grotrian-Steinweg,стандарт,7a,Расстояние ауслезунга в басах,2,мм,tmp_forss/crops/p1_right_table.png.tsv
Grotrian-Steinweg,ранние механики,7b,Расстояние ауслезунга в басах,2,мм,tmp_forss/crops/p1_right_table.png.tsv
Baldwin,стандарт,1,Расстояние ауслезунга от струн в середине,1.6,мм,tmp_forss/crops/p1_right_table.png.tsv
Bechstein,стандарт,2,Расстояние ауслезунга от струн в середине,1,мм,tmp_forss/crops/p1_right_table.png.tsv
Blüthner,стандарт,3a,Расстояние ауслезунга от струн в середине,2,мм,tmp_forss/crops/p1_right_table.png.tsv
Blüthner,патентованная механика,3b,Расстояние ауслезунга от струн в середине,2,мм,tmp_forss/crops/p1_right_table.png.tsv
Bösendorfer,стандарт,4,Расстояние ауслезунга от струн в середине,1.5,мм,tmp_forss/crops/p1_right_table.png.tsv
Fazioli,стандарт,5,Расстояние ауслезунга от струн в середине,1.0,мм,tmp_forss/crops/p1_right_table.png.tsv
Grotrian-Steinweg,стандарт,7a,Расстояние ауслезунга от струн в середине,2,мм,tmp_forss/crops/p1_right_table.png.tsv
Grotrian-Steinweg,ранние механики,7b,Расстояние ауслезунга от струн в середине,2,мм,tmp_forss/crops/p1_right_table.png.tsv
Baldwin,стандарт,1,Расстояние ауслезунга от струн в дискантах,1.6,мм,tmp_forss/crops/p1_right_table.png.tsv
Bechstein,стандарт,2,Расстояние ауслезунга от струн в дискантах,1,мм,tmp_forss/crops/p1_right_table.png.tsv
Blüthner,стандарт,3a,Расстояние ауслезунга от струн в дискантах,15,мм,tmp_forss/crops/p1_right_table.png.tsv
Blüthner,патентованная механика,3b,Расстояние ауслезунга от струн в дискантах,1.5,мм,tmp_forss/crops/p1_right_table.png.tsv
Bösendorfer,стандарт,4,Расстояние ауслезунга от струн в дискантах,1.0,мм,tmp_forss/crops/p1_right_table.png.tsv
Fazioli,стандарт,5,Расстояние ауслезунга от струн в дискантах,1.0,мм,tmp_forss/crops/p1_right_table.png.tsv
Grotrian-Steinweg,стандарт,7a,Расстояние ауслезунга от струн в дискантах,2,мм,tmp_forss/crops/p1_right_table.png.tsv
Blüthner,патентованная механика,3b,Расстояние абника от струн в басах,4.5,мм,tmp_forss/crops/p1_right_table.png.tsv
Bösendorfer,стандарт,4,Расстояние абника от струн в басах,3.0,мм,tmp_forss/crops/p1_right_table.png.tsv
Blüthner,патентованная механика,3b,Расстояные абника от струн в середине,3.5,мм,tmp_forss/crops/p2_left_table.png.tsv
Bösendorfer,стандарт,4,Расстояные абника от струн в середине,3.0,мм,tmp_forss/crops/p2_left_table.png.tsv
Blüthner,патентованная механика,3b,Расстояние абника от струн в дискантах,3,мм,tmp_forss/crops/p2_left_table.png.tsv
Bösendorfer,стандарт,4,Расстояние абника от струн в дискантах,2.5,мм,tmp_forss/crops/p2_left_table.png.tsv
Aug. Förster,стандарт,6,Расстояние абника от струн в дискантах,2,мм,tmp_forss/crops/p2_left_table.png.tsv
Grotrian-Steinweg,стандарт,7a,Расстояние абника от струн в дискантах,2,мм,tmp_forss/crops/p2_left_table.png.tsv
Grotrian-Steinweg,ранние механики,7b,Расстояние абника от струн в дискантах,2,мм,tmp_forss/crops/p2_left_table.png.tsv
Rud. Ibach,стандарт,8,Расстояние абника от струн в дискантах,2,мм,tmp_forss/crops/p2_left_table.png.tsv
Bechstein,стандарт,2,Расстомние абника от уровня ауслезунга в басах,2,мм,tmp_forss/crops/p2_left_table.png.tsv
Blüthner,стандарт,3a,Расстомние абника от уровня ауслезунга в басах,1.5,мм,tmp_forss/crops/p2_left_table.png.tsv
Blüthner,патентованная механика,3b,Расстомние абника от уровня ауслезунга в басах,1.5,мм,tmp_forss/crops/p2_left_table.png.tsv
Fazioli,стандарт,5,Расстомние абника от уровня ауслезунга в басах,2.0,мм,tmp_forss/crops/p2_left_table.png.tsv
Aug. Förster,стандарт,6,Расстомние абника от уровня ауслезунга в басах,2,мм,tmp_forss/crops/p2_left_table.png.tsv
Grotrian-Steinweg,стандарт,7a,Расстомние абника от уровня ауслезунга в басах,1.5,мм,tmp_forss/crops/p2_left_table.png.tsv
Grotrian-Steinweg,ранние механики,7b,Расстомние абника от уровня ауслезунга в басах,1.5,мм,tmp_forss/crops/p2_left_table.png.tsv
Rud. Ibach,стандарт,8,Расстомние абника от уровня ауслезунга в басах,2,мм,tmp_forss/crops/p2_left_table.png.tsv
Bechstein,стандарт,2,Расстояние абника от уровня ауслезунга в середине (мм) Расстояние абника от уровня ауслезунга в дискантах,15,мм,tmp_forss/crops/p2_left_table.png.tsv
Blüthner,стандарт,3a,Расстояние абника от уровня ауслезунга в середине (мм) Расстояние абника от уровня ауслезунга в дискантах,15,мм,tmp_forss/crops/p2_left_table.png.tsv
Blüthner,патентованная механика,3b,Расстояние абника от уровня ауслезунга в середине (мм) Расстояние абника от уровня ауслезунга в дискантах,21,мм,tmp_forss/crops/p2_left_table.png.tsv
Fazioli,стандарт,5,Расстояние абника от уровня ауслезунга в середине (мм) Расстояние абника от уровня ауслезунга в дискантах,15,мм,tmp_forss/crops/p2_left_table.png.tsv
Aug. Förster,стандарт,6,Расстояние абника от уровня ауслезунга в середине (мм) Расстояние абника от уровня ауслезунга в дискантах,15-,мм,tmp_forss/crops/p2_left_table.png.tsv
Grotrian-Steinweg,стандарт,7a,Расстояние абника от уровня ауслезунга в середине (мм) Расстояние абника от уровня ауслезунга в дискантах,1.5,мм,tmp_forss/crops/p2_left_table.png.tsv
Grotrian-Steinweg,ранние механики,7b,Расстояние абника от уровня ауслезунга в середине (мм) Расстояние абника от уровня ауслезунга в дискантах,1.5,мм,tmp_forss/crops/p2_left_table.png.tsv
Rud. Ibach,стандарт,8,Расстояние абника от уровня ауслезунга в середине (мм) Расстояние абника от уровня ауслезунга в дискантах,13,мм,tmp_forss/crops/p2_left_table.png.tsv
Bösendorfer,стандарт,4,Расстояние абника от уровня ауслезунга в середине (мм) Расстояние абника от уровня ауслезунга в дискантах,14,мм,tmp_forss/crops/p2_left_table.png.tsv
Aug. Förster,стандарт,6,Подиват на фенгер от струн в басах,15-,мм,tmp_forss/crops/p2_left_table.png.tsv
Bechstein,стандарт,2,Подиват на фенгер от струн в басах,15,мм,tmp_forss/crops/p2_left_table.png.tsv
Blüthner,стандарт,3a,Подиват на фенгер от струн в басах,15,мм,tmp_forss/crops/p2_left_table.png.tsv
Blüthner,патентованная механика,3b,Подиват на фенгер от струн в басах,21,мм,tmp_forss/crops/p2_left_table.png.tsv
Bösendorfer,стандарт,4,Подиват на фенгер от струн в басах,14,мм,tmp_forss/crops/p2_left_table.png.tsv
Fazioli,стандарт,5,Подиват на фенгер от струн в басах,15,мм,tmp_forss/crops/p2_left_table.png.tsv
Grotrian-Steinweg,стандарт,7a,Подиват на фенгер от струн в басах,14,мм,tmp_forss/crops/p2_left_table.png.tsv
Rud. Ibach,стандарт,8,Подиват на фенгер от струн в басах,13,мм,tmp_forss/crops/p2_left_table.png.tsv
Aug. Förster,стандарт,6,Подхват на фенгер от струн в середине,15-,мм,tmp_forss/crops/p2_left_table.png.tsv
Bechstein,стандарт,2,Подхват на фенгер от струн в середине,15,мм,tmp_forss/crops/p2_left_table.png.tsv
Blüthner,патентованная механика,3b,Подхват на фенгер от струн в середине,21,мм,tmp_forss/crops/p2_left_table.png.tsv
Bösendorfer,стандарт,4,Подхват на фенгер от струн в середине,14,мм,tmp_forss/crops/p2_left_table.png.tsv
Fazioli,стандарт,5,Подхват на фенгер от струн в середине,15,мм,tmp_forss/crops/p2_left_table.png.tsv
Grotrian-Steinweg,стандарт,7a,Подхват на фенгер от струн в середине,14,мм,tmp_forss/crops/p2_left_table.png.tsv
Rud. Ibach,стандарт,8,Подхват на фенгер от струн в середине,13,мм,tmp_forss/crops/p2_left_table.png.tsv
Aug. Förster,стандарт,6,Подхват на фенгер от струн в дискантах,16,мм,tmp_forss/crops/p2_left_table.png.tsv
