brand,model,column,parameter,value,unit,source
Seiler,"180, 206, 240",13,Расстояние ауслезунга от струн в дискантах,1.5,мм,tmp_forss/crops/p3_left_table.png.tsv
Kimball,стандарт,9,Расстояние абмика от струн в басах,4.80,мм,tmp_forss/crops/p3_left_table.png.tsv
Petrof,Model IV 174 см,10,Расстояние абмика от струн в басах,4.0,мм,tmp_forss/crops/p3_left_table.png.tsv
Kimball,стандарт,9,Расстояние абника от струн в середине,4.80,мм,tmp_forss/crops/p3_left_table.png.tsv
Petrof,Model IV 174 см,10,Расстояние абника от струн в середине,4.0,мм,tmp_forss/crops/p3_left_table.png.tsv
Kimball,стандарт,9,Расстояние абника от струм в дискантах,4.8*,мм,tmp_forss/crops/p3_left_table.png.tsv
Petrof,Model IV 174 см,10,Расстояние абника от струм в дискантах,4.0,мм,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,<200 см,12a,Расстоямие абника от уровня ауслёзунга в басах,2.0,мм,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,>200 см,12b,Расстоямие абника от уровня ауслёзунга в басах,2.0,мм,tmp_forss/crops/p3_left_table.png.tsv
Seiler,"180, 206, 240",13,Расстоямие абника от уровня ауслёзунга в басах,1.5,мм,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,<200 см,12a,Расстояние абника от уровня ауслёзунга в середине,1.5,мм,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,>200 см,12b,Расстояние абника от уровня ауслёзунга в середине,1.5,мм,tmp_forss/crops/p3_left_table.png.tsv
Seiler,"180, 206, 240",13,Расстояние абника от уровня ауслёзунга в середине,1.5,мм,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,<200 см,12a,Расстовние абника от уровня ауслезунга в дискантах,1.5,мм,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,>200 см,12b,Расстовние абника от уровня ауслезунга в дискантах,1.5,мм,tmp_forss/crops/p3_left_table.png.tsv
Seiler,"180, 206, 240",13,Расстовние абника от уровня ауслезунга в дискантах,1.5,мм,tmp_forss/crops/p3_left_table.png.tsv
Kimball,стандарт,9,Подхват на фенгер от струн в басах,16,мм,tmp_forss/crops/p3_left_table.png.tsv
Petrof,Model IV 174 см,10,Подхват на фенгер от струн в басах,16,мм,tmp_forss/crops/p3_left_table.png.tsv
Sauter,стандарт,11,Подхват на фенгер от струн в басах,15,мм,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,<200 см,12a,Подхват на фенгер от струн в басах,14,мм,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,>200 см,12b,Подхват на фенгер от струн в басах,17-14,мм,tmp_forss/crops/p3_left_table.png.tsv
Seiler,"180, 206, 240",13,Подхват на фенгер от струн в басах,15,мм,tmp_forss/crops/p3_left_table.png.tsv
Kimball,стандарт,9,Подиват на фенгер от струн в середине,16,мм,tmp_forss/crops/p3_left_table.png.tsv
Petrof,Model IV 174 см,10,Подиват на фенгер от струн в середине,16,мм,tmp_forss/crops/p3_left_table.png.tsv
Sauter,стандарт,11,Подиват на фенгер от струн в середине,15,мм,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,<200 см,12a,Подиват на фенгер от струн в середине,13,мм,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,>200 см,12b,Подиват на фенгер от струн в середине,16-13,мм,tmp_forss/crops/p3_left_table.png.tsv
Seiler,"180, 206, 240",13,Подиват на фенгер от струн в середине,15,мм,tmp_forss/crops/p3_left_table.png.tsv
Kimball,стандарт,9,Подхват на фенгер от струн в дискантах,16,мм,tmp_forss/crops/p3_left_table.png.tsv
Petrof,Model IV 174 см,10,Подхват на фенгер от струн в дискантах,16,мм,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,<200 см,12a,Подхват на фенгер от струн в дискантах,12,мм,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,>200 см,12b,Подхват на фенгер от струн в дискантах,15-12,мм,tmp_forss/crops/p3_left_table.png.tsv
Seiler,"180, 206, 240",13,Подхват на фенгер от струн в дискантах,15,мм,tmp_forss/crops/p3_left_table.png.tsv
Petrof,Model IV 174 см,10,Позиция молотков относительно хоров струн,0-3,мм,tmp_forss/crops/p3_left_table.png.tsv
Petrof,Model IV 174 см,10,"Нахдрук (мм) Усилне репетиционной пружины, измеренное на вершине репетиционного рымага фигуры с компенсационной пружиной в граммах",2.0,,tmp_forss/crops/p3_left_table.png.tsv
Sauter,стандарт,11,"Нахдрук (мм) Усилне репетиционной пружины, измеренное на вершине репетиционного рымага фигуры с компенсационной пружиной в граммах",2.0,,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,<200 см,12a,"Нахдрук (мм) Усилне репетиционной пружины, измеренное на вершине репетиционного рымага фигуры с компенсационной пружиной в граммах",2.0,,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,>200 см,12b,"Нахдрук (мм) Усилне репетиционной пружины, измеренное на вершине репетиционного рымага фигуры с компенсационной пружиной в граммах",2.0,,tmp_forss/crops/p3_left_table.png.tsv
Sauter,стандарт,11,Позиция шпиллера стностельно плоскости репетиционного рычага,0.3,мм,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,<200 см,12a,Позиция шпиллера стностельно плоскости репетиционного рычага,0.1,мм,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,>200 см,12b,Позиция шпиллера стностельно плоскости репетиционного рычага,0.1,мм,tmp_forss/crops/p3_left_table.png.tsv
Sauter,стандарт,11,пожение шлиялера относительно задней грами керна барабанчика,0.5,,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,<200 см,12a,"Зазор между шпиллиром и ограничительным польстером, остающийся",1.5,,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,<200 см,12a,тосве зуслезунга,2.0,мм,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,>200 см,12b,тосве зуслезунга,1.5-2.0,мм,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,<200 см,12a,Полуход / момент начала подъема демпфера,19,мм,tmp_forss/crops/p3_right_table.png.tsv
Schimmel,>200 см,12b,Полуход / момент начала подъема демпфера,23-19,мм,tmp_forss/crops/p3_right_table.png.tsv
Petrof,Model IV 174 см,10,Расстояние между фильцем клавиш и ложками демпфера в исходном положении,3.0,мм,tmp_forss/crops/p3_right_table.png.tsv
Petrof,Model IV 174 см,10,Люфт демпферных проволок в отверстиях направляющего лейстика Расстояние до упора демпферных фигур в демпферлейстик при нажатых клавишах (мм) Расстояние до упора демпферных фигур в демпферлейстик при нажатой правой педали,0.3,мм,tmp_forss/crops/p3_right_table.png.tsv
Schimmel,<200 см,12a,Люфт демпферных проволок в отверстиях направляющего лейстика Расстояние до упора демпферных фигур в демпферлейстик при нажатых клавишах (мм) Расстояние до упора демпферных фигур в демпферлейстик при нажатой правой педали,0.2,мм,tmp_forss/crops/p3_right_table.png.tsv
Schimmel,>200 см,12b,Люфт демпферных проволок в отверстиях направляющего лейстика Расстояние до упора демпферных фигур в демпферлейстик при нажатых клавишах (мм) Расстояние до упора демпферных фигур в демпферлейстик при нажатой правой педали,0.1-0.2,мм,tmp_forss/crops/p3_right_table.png.tsv
Petrof,Model IV 174 см,10,Расстояние между черными клавишами и шуцлейстиком или фильцем,2.0,,tmp_forss/crops/p3_right_table.png.tsv
Sauter,стандарт,11,Расстояние между черными клавишами и шуцлейстиком или фильцем,20,,tmp_forss/crops/p3_right_table.png.tsv
Schimmel,<200 см,12a,Расстояние между черными клавишами и шуцлейстиком или фильцем,1.0-,,tmp_forss/crops/p3_right_table.png.tsv
Schimmel,>200 см,12b,Расстояние между черными клавишами и шуцлейстиком или фильцем,1.0-1.5,,tmp_forss/crops/p3_right_table.png.tsv
Schimmel,<200 см,12a,клапа,1.5,мм,tmp_forss/crops/p3_right_table.png.tsv
Schimmel,>200 см,12b,клапа,2,мм,tmp_forss/crops/p3_right_table.png.tsv
Petrof,Model IV 174 см,10,Минимальный статический игровой вес без демпферов в басах,53,г,tmp_forss/crops/p3_right_table.png.tsv
Sauter,стандарт,11,Минимальный статический игровой вес без демпферов в басах,52,г,tmp_forss/crops/p3_right_table.png.tsv
Schimmel,<200 см,12a,Минимальный статический игровой вес без демпферов в басах,58,г,tmp_forss/crops/p3_right_table.png.tsv
Schimmel,>200 см,12b,Минимальный статический игровой вес без демпферов в басах,58,г,tmp_forss/crops/p3_right_table.png.tsv
Petrof,Model IV 174 см,10,Минимальный статический игровой вес без демпферов в середине,53,г,tmp_forss/crops/p3_right_table.png.tsv
Sauter,стандарт,11,Минимальный статический игровой вес без демпферов в середине,52,г,tmp_forss/crops/p3_right_table.png.tsv
Schimmel,<200 см,12a,Минимальный статический игровой вес без демпферов в середине,53,г,tmp_forss/crops/p3_right_table.png.tsv
Schimmel,>200 см,12b,Минимальный статический игровой вес без демпферов в середине,53,г,tmp_forss/crops/p3_right_table.png.tsv
Petrof,Model IV 174 см,10,Минимальный статический игровой вес без демпферов в дискантах,53,г,tmp_forss/crops/p3_right_table.png.tsv
Sauter,стандарт,11,Минимальный статический игровой вес без демпферов в дискантах,52,г,tmp_forss/crops/p3_right_table.png.tsv
Schimmel,<200 см,12a,Минимальный статический игровой вес без демпферов в дискантах,50,г,tmp_forss/crops/p3_right_table.png.tsv
Schimmel,>200 см,12b,Минимальный статический игровой вес без демпферов в дискантах,50,г,tmp_forss/crops/p3_right_table.png.tsv
Schimmel,<200 см,12a,Максимальный статический игровой вес с демпферами в басах,114,г,tmp_forss/crops/p3_right_table.png.tsv
Schimmel,>200 см,12b,Максимальный статический игровой вес с демпферами в басах,114,г,tmp_forss/crops/p3_right_table.png.tsv
Schimmel,<200 см,12a,Максимальный статический игровой вес с демпферами в середине,95,г,tmp_forss/crops/p3_right_table.png.tsv
Schimmel,>200 см,12b,Максимальный статический игровой вес с демпферами в середине,95,г,tmp_forss/crops/p3_right_table.png.tsv
Schimmel,<200 см,12a,Максимальный статический игровой вес с демпферами в дискантах,72,г,tmp_forss/crops/p3_right_table.png.tsv
Schimmel,>200 см,12b,Максимальный статический игровой вес с демпферами в дискантах,72,г,tmp_forss/crops/p3_right_table.png.tsv
Petrof,Model IV 174 см,10,"Вес подъема клавиши в басах, середине и дискантах (г) Оригинальная длина басовых головок молотков (мм) Оригинальная длина головок молотков в середине и дискантах",19,мм,tmp_forss/crops/p3_right_table.png.tsv
Sauter,стандарт,11,"Вес подъема клавиши в басах, середине и дискантах (г) Оригинальная длина басовых головок молотков (мм) Оригинальная длина головок молотков в середине и дискантах",28,мм,tmp_forss/crops/p3_right_table.png.tsv
Petrof,Model IV 174 см,10,Сдвиг механики от левой педали,4,мм,tmp_forss/crops/p3_right_table.png.tsv
Sauter,стандарт,11,Сдвиг механики от левой педали,2,мм,tmp_forss/crops/p3_right_table.png.tsv
Kimball,стандарт,9,"Трение в осях, измеренное в граммах у отверстия капсюля под шуруп - капсюль молотка",3-8,,tmp_forss/crops/p3_right_table.png.tsv
Kimball,стандарт,9,капсюль фигуры -капсюль репетиционного рычага,4-10,,tmp_forss/crops/p3_right_table.png.tsv
Kimball,стандарт,9,капсюль шпиллера - капсюль демпферной фигуры капсюль демпфера,2-4,,tmp_forss/crops/p3_right_table.png.tsv
Samick,SG-140A,14a,Расстояние абника от уровня ауслезунга в басах,2-3,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-155,14b,Расстояние абника от уровня ауслезунга в басах,2-3,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-172,14c,Расстояние абника от уровня ауслезунга в басах,2-3,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,G-3A,14d,Расстояние абника от уровня ауслезунга в басах,2-3,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-185,14e,Расстояние абника от уровня ауслезунга в басах,2-3,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-205,14f,Расстояние абника от уровня ауслезунга в басах,2-3,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-140A,14a,Расстояние абника от уровня ауслезунга в середине,2-3,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-155,14b,Расстояние абника от уровня ауслезунга в середине,2-3,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-172,14c,Расстояние абника от уровня ауслезунга в середине,2-3,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,G-3A,14d,Расстояние абника от уровня ауслезунга в середине,2-3,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-185,14e,Расстояние абника от уровня ауслезунга в середине,2-3,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-205,14f,Расстояние абника от уровня ауслезунга в середине,2-3,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-140A,14a,Расстояние абника от уровня ауслезунга в дискантах,2-3,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-155,14b,Расстояние абника от уровня ауслезунга в дискантах,2-3,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-172,14c,Расстояние абника от уровня ауслезунга в дискантах,2-3,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,G-3A,14d,Расстояние абника от уровня ауслезунга в дискантах,2-3,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-185,14e,Расстояние абника от уровня ауслезунга в дискантах,2-3,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-205,14f,Расстояние абника от уровня ауслезунга в дискантах,2-3,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-140A,14a,Подхват на фенгер от струн в басах,15,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-155,14b,Подхват на фенгер от струн в басах,15,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-172,14c,Подхват на фенгер от струн в басах,15,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,G-3A,14d,Подхват на фенгер от струн в басах,15,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-185,14e,Подхват на фенгер от струн в басах,15,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-205,14f,Подхват на фенгер от струн в басах,15,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-140A,14a,Подхват на фенгер от струн в середине,15,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-155,14b,Подхват на фенгер от струн в середине,15,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-172,14c,Подхват на фенгер от струн в середине,15,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-185,14e,Подхват на фенгер от струн в середине,15,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-205,14f,Подхват на фенгер от струн в середине,15,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-140A,14a,"Подхват на фенгер от струн в дискантах (мм) Позиция молотков относительно хоров струн (мм) Нахдрук (мм) Усилие репетиционной пружины, измеренное на вершине репетиционного рычага фигуры с компенсационной пружиной в граммах",15,,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-155,14b,"Подхват на фенгер от струн в дискантах (мм) Позиция молотков относительно хоров струн (мм) Нахдрук (мм) Усилие репетиционной пружины, измеренное на вершине репетиционного рычага фигуры с компенсационной пружиной в граммах",15,,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-172,14c,"Подхват на фенгер от струн в дискантах (мм) Позиция молотков относительно хоров струн (мм) Нахдрук (мм) Усилие репетиционной пружины, измеренное на вершине репетиционного рычага фигуры с компенсационной пружиной в граммах",15,,tmp_forss/crops/p4_right_table.png.tsv
Samick,G-3A,14d,"Подхват на фенгер от струн в дискантах (мм) Позиция молотков относительно хоров струн (мм) Нахдрук (мм) Усилие репетиционной пружины, измеренное на вершине репетиционного рычага фигуры с компенсационной пружиной в граммах",15,,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-185,14e,"Подхват на фенгер от струн в дискантах (мм) Позиция молотков относительно хоров струн (мм) Нахдрук (мм) Усилие репетиционной пружины, измеренное на вершине репетиционного рычага фигуры с компенсационной пружиной в граммах",15,,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-205,14f,"Подхват на фенгер от струн в дискантах (мм) Позиция молотков относительно хоров струн (мм) Нахдрук (мм) Усилие репетиционной пружины, измеренное на вершине репетиционного рычага фигуры с компенсационной пружиной в граммах",15,,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-140A,14a,"Позиция шпиллера относительно плоскости репетиционного рычага (мм) Положение шпиллера относительно задней грани керна барабанчика Зазор между шпиллером и ограничительным польстером, остающиися после ауслезунга",0.2,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-155,14b,"Позиция шпиллера относительно плоскости репетиционного рычага (мм) Положение шпиллера относительно задней грани керна барабанчика Зазор между шпиллером и ограничительным польстером, остающиися после ауслезунга",0.2,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-172,14c,"Позиция шпиллера относительно плоскости репетиционного рычага (мм) Положение шпиллера относительно задней грани керна барабанчика Зазор между шпиллером и ограничительным польстером, остающиися после ауслезунга",0.2,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,G-3A,14d,"Позиция шпиллера относительно плоскости репетиционного рычага (мм) Положение шпиллера относительно задней грани керна барабанчика Зазор между шпиллером и ограничительным польстером, остающиися после ауслезунга",0.2,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-185,14e,"Позиция шпиллера относительно плоскости репетиционного рычага (мм) Положение шпиллера относительно задней грани керна барабанчика Зазор между шпиллером и ограничительным польстером, остающиися после ауслезунга",0.2,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-205,14f,"Позиция шпиллера относительно плоскости репетиционного рычага (мм) Положение шпиллера относительно задней грани керна барабанчика Зазор между шпиллером и ограничительным польстером, остающиися после ауслезунга",0.2,мм,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-140A,14a,Полуход / момент начала подьема демпфера (мм) Расстояние между фильцем клавиш и ложками демпфера в исходном полажении (мм) Люфт демпферных проволок в отверстиях направляющего лейстика Расстояние до упора демпферных фигур в демпферлейстик при нажатых клавишах (мм) Расстояние до упора демпферных фигур в демпферлейстик при нажатои правой педали (мм) Расстояние между черными клавишами и шуцлейстиком или фильцем клапа (мм) Минимальный статический игровой вес без демпферов в басах (г) Минимальный статический игровой вес без демпферов в середине,23.5,г,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-155,14b,Полуход / момент начала подьема демпфера (мм) Расстояние между фильцем клавиш и ложками демпфера в исходном полажении (мм) Люфт демпферных проволок в отверстиях направляющего лейстика Расстояние до упора демпферных фигур в демпферлейстик при нажатых клавишах (мм) Расстояние до упора демпферных фигур в демпферлейстик при нажатои правой педали (мм) Расстояние между черными клавишами и шуцлейстиком или фильцем клапа (мм) Минимальный статический игровой вес без демпферов в басах (г) Минимальный статический игровой вес без демпферов в середине,23.5,г,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-172,14c,Полуход / момент начала подьема демпфера (мм) Расстояние между фильцем клавиш и ложками демпфера в исходном полажении (мм) Люфт демпферных проволок в отверстиях направляющего лейстика Расстояние до упора демпферных фигур в демпферлейстик при нажатых клавишах (мм) Расстояние до упора демпферных фигур в демпферлейстик при нажатои правой педали (мм) Расстояние между черными клавишами и шуцлейстиком или фильцем клапа (мм) Минимальный статический игровой вес без демпферов в басах (г) Минимальный статический игровой вес без демпферов в середине,23.5 23.5,г,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-185,14e,Полуход / момент начала подьема демпфера (мм) Расстояние между фильцем клавиш и ложками демпфера в исходном полажении (мм) Люфт демпферных проволок в отверстиях направляющего лейстика Расстояние до упора демпферных фигур в демпферлейстик при нажатых клавишах (мм) Расстояние до упора демпферных фигур в демпферлейстик при нажатои правой педали (мм) Расстояние между черными клавишами и шуцлейстиком или фильцем клапа (мм) Минимальный статический игровой вес без демпферов в басах (г) Минимальный статический игровой вес без демпферов в середине,23.5,г,tmp_forss/crops/p4_right_table.png.tsv
Samick,SG-205,14f,Полуход / момент начала подьема демпфера (мм) Расстояние между фильцем клавиш и ложками демпфера в исходном полажении (мм) Люфт демпферных проволок в отверстиях направляющего лейстика Расстояние до упора демпферных фигур в демпферлейстик при нажатых клавишах (мм) Расстояние до упора демпферных фигур в демпферлейстик при нажатои правой педали (мм) Расстояние между черными клавишами и шуцлейстиком или фильцем клапа (мм) Минимальный статический игровой вес без демпферов в басах (г) Минимальный статический игровой вес без демпферов в середине,23.5,г,tmp_forss/crops/p4_right_table.png.tsv
Steinway & Sons,S–B Hamburg,15,Нажатая черная клавиша над ненажатой белой,2.5,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,C–D Hamburg,16,Нажатая черная клавиша над ненажатой белой,2.25,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,S–L New York,17,Нажатая черная клавиша над ненажатой белой,2.0,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,B–D New York,18,Нажатая черная клавиша над ненажатой белой,2.0,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,S–B Hamburg,15,"Возвышение середины клавиатуры над краями (мм) Высота фильца на задних кромках клавиш для подъема демпферов, относительно штульрамы",2,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,C–D Hamburg,16,"Возвышение середины клавиатуры над краями (мм) Высота фильца на задних кромках клавиш для подъема демпферов, относительно штульрамы",2,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,S–L New York,17,"Возвышение середины клавиатуры над краями (мм) Высота фильца на задних кромках клавиш для подъема демпферов, относительно штульрамы",0.8,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,B–D New York,18,"Возвышение середины клавиатуры над краями (мм) Высота фильца на задних кромках клавиш для подъема демпферов, относительно штульрамы",0.8,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,S–B Hamburg,15,Друк белых клавиш,9.5,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,C–D Hamburg,16,Друк белых клавиш,9.75,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,S–L New York,17,Друк белых клавиш,9.9,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,B–D New York,18,Друк белых клавиш,10.7,мм,tmp_forss/crops/p5_right_table.png.tsv
Yamaha,стандарт,19,Друк белых клавиш,10.0,мм,tmp_forss/crops/p5_right_table.png.tsv
Yamaha,CF,20,Друк белых клавиш,10.0,мм,tmp_forss/crops/p5_right_table.png.tsv
Yamaha,стандарт,19,Друк черных клавиш,10.0,мм,tmp_forss/crops/p5_right_table.png.tsv
Yamaha,CF,20,Друк черных клавиш,10.0,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,S–L New York,17,Штульрама плоская или с возвышением,0,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,B–D New York,18,Штульрама плоская или с возвышением,0,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,S–B Hamburg,15,Люфт клавиш на средних и передних штифтах,0.1,,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,C–D Hamburg,16,Люфт клавиш на средних и передних штифтах,0.1,,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,S–L New York,17,Люфт клавиш на средних и передних штифтах,0.1,,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,B–D New York,18,Люфт клавиш на средних и передних штифтах,0.1,,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,S–B Hamburg,15,Расстояние между осями фигур и молотков,114,,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,C–D Hamburg,16,Расстояние между осями фигур и молотков,114,,tmp_forss/crops/p5_right_table.png.tsv
Yamaha,стандарт,19,Расстояние между осями фигур и молотков,112.5,,tmp_forss/crops/p5_right_table.png.tsv
Yamaha,CF,20,Расстояние между осями фигур и молотков,112.5,,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,S–B Hamburg,15,Штейнунг,470,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,C–D Hamburg,16,Штейнунг,47*,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,S–L New York,17,Штейнунг,45,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,B–D New York,18,Штейнунг,48,мм,tmp_forss/crops/p5_right_table.png.tsv
Yamaha,стандарт,19,Штейнунг,47.5,мм,tmp_forss/crops/p5_right_table.png.tsv
Yamaha,CF,20,Штейнунг,47.5,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,S–B Hamburg,15,Расстояние от гаммерштилей до польстера рулейстика,3-4,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,C–D Hamburg,16,Расстояние от гаммерштилей до польстера рулейстика,3-4,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,S–L New York,17,Расстояние от гаммерштилей до польстера рулейстика,5.0,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,B–D New York,18,Расстояние от гаммерштилей до польстера рулейстика,5.0,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,S–L New York,17,Расстаяние ауслезунга в басах,4-2,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,B–D New York,18,Расстаяние ауслезунга в басах,4-2,мм,tmp_forss/crops/p5_right_table.png.tsv
Yamaha,стандарт,19,Расстаяние ауслезунга в басах,3,мм,tmp_forss/crops/p5_right_table.png.tsv
Yamaha,CF,20,Расстаяние ауслезунга в басах,3,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,S–B Hamburg,15,Расстояние ауслезунга от струн в середине,1.5,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,C–D Hamburg,16,Расстояние ауслезунга от струн в середине,1.5,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,S–L New York,17,Расстояние ауслезунга от струн в середине,2,мм,tmp_forss/crops/p5_right_table.png.tsv
Yamaha,стандарт,19,Расстояние ауслезунга от струн в середине,2,мм,tmp_forss/crops/p5_right_table.png.tsv
Yamaha,CF,20,Расстояние ауслезунга от струн в середине,2,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,S–B Hamburg,15,Расстояние ауслёзунга от струн в дискантах (мм) Расстояние абника от струн в басах (мм) Расстояние абника от струн в середине (мм) Расстояние абника от струн в дискантах,1.0,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,C–D Hamburg,16,Расстояние ауслёзунга от струн в дискантах (мм) Расстояние абника от струн в басах (мм) Расстояние абника от струн в середине (мм) Расстояние абника от струн в дискантах,1.0,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,S–L New York,17,Расстояние ауслёзунга от струн в дискантах (мм) Расстояние абника от струн в басах (мм) Расстояние абника от струн в середине (мм) Расстояние абника от струн в дискантах,1.6,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,B–D New York,18,Расстояние ауслёзунга от струн в дискантах (мм) Расстояние абника от струн в басах (мм) Расстояние абника от струн в середине (мм) Расстояние абника от струн в дискантах,1.6,мм,tmp_forss/crops/p5_right_table.png.tsv
Yamaha,стандарт,19,Расстояние ауслёзунга от струн в дискантах (мм) Расстояние абника от струн в басах (мм) Расстояние абника от струн в середине (мм) Расстояние абника от струн в дискантах,2.2,мм,tmp_forss/crops/p5_right_table.png.tsv
Yamaha,CF,20,Расстояние ауслёзунга от струн в дискантах (мм) Расстояние абника от струн в басах (мм) Расстояние абника от струн в середине (мм) Расстояние абника от струн в дискантах,22,мм,tmp_forss/crops/p5_right_table.png.tsv
Steinway & Sons,C–D Hamburg,16,Расстояние абника от уровня ауслёзунга в басах,2,мм,tmp_forss/crops/p5_right_table.png.tsv
