brand,model,parameter,value,unit,source_column,source
Aug. Förster,стандарт,Расстояние ауслезунга в басах,2,мм,6,Forss 2009
Grotrian-Steinweg,стандарт,Расстояние ауслезунга в басах,2,мм,7a,Forss 2009
Grotrian-Steinweg,ранние механики,Расстояние ауслезунга в басах,2,мм,7b,Forss 2009
Rud. Ibach,стандарт,Расстояние ауслезунга в басах,3,мм,8,Forss 2009
Baldwin,стандарт,Расстояние ауслезунга от струн в середине,1.6,мм,1,Forss 2009
Bechstein,стандарт,Расстояние ауслезунга от струн в середине,1,мм,2,Forss 2009
Blüthner,стандарт,Расстояние ауслезунга от струн в середине,2,мм,3a,Forss 2009
Blüthner,патентованная механика,Расстояние ауслезунга от струн в середине,2,мм,3b,Forss 2009
Bösendorfer,стандарт,Расстояние ауслезунга от струн в середине,1.5,мм,4,Forss 2009
Fazioli,стандарт,Расстояние ауслезунга от струн в середине,1.0,мм,5,Forss 2009
Aug. Förster,стандарт,Расстояние ауслезунга от струн в середине,2,мм,6,Forss 2009
Grotrian-Steinweg,стандарт,Расстояние ауслезунга от струн в середине,2,мм,7a,Forss 2009
Grotrian-Steinweg,ранние механики,Расстояние ауслезунга от струн в середине,2,мм,7b,Forss 2009
Rud. Ibach,стандарт,Расстояние ауслезунга от струн в середине,2,мм,8,Forss 2009
Baldwin,стандарт,Расстояние ауслезунга от струн в дискантах,1.6,мм,1,Forss 2009
Bechstein,стандарт,Расстояние ауслезунга от струн в дискантах,1,мм,2,Forss 2009
Blüthner,стандарт,Расстояние ауслезунга от струн в дискантах,1.5,мм,3a,Forss 2009
Blüthner,патентованная механика,Расстояние ауслезунга от струн в дискантах,1.5,мм,3b,Forss 2009
Bösendorfer,стандарт,Расстояние ауслезунга от струн в дискантах,1.0,мм,4,Forss 2009
Fazioli,стандарт,Расстояние ауслезунга от струн в дискантах,1.0,мм,5,Forss 2009
Aug. Förster,стандарт,Расстояние ауслезунга от струн в дискантах,2,мм,6,Forss 2009
Grotrian-Steinweg,стандарт,Расстояние ауслезунга от струн в дискантах,2,мм,7a,Forss 2009
Grotrian-Steinweg,ранние механики,Расстояние ауслезунга от струн в дискантах,2,мм,7b,Forss 2009
Rud. Ibach,стандарт,Расстояние ауслезунга от струн в дискантах,1,мм,8,Forss 2009
Blüthner,патентованная механика,Расстояние абника от струн в басах,4.5,мм,3b,Forss 2009
Bösendorfer,стандарт,Расстояние абника от струн в басах,3.0,мм,4,Forss 2009
Aug. Förster,стандарт,Расстояние абника от струн в басах,4,мм,6,Forss 2009
Blüthner,патентованная механика,Расстояние абника от струн в середине,3.5,мм,3b,Forss 2009
Bösendorfer,стандарт,Расстояние абника от струн в середине,3.0,мм,4,Forss 2009
Aug. Förster,стандарт,Расстояние абника от струн в середине,4,мм,6,Forss 2009
Blüthner,патентованная механика,Расстояние абника от струн в дискантах,3,мм,3b,Forss 2009
Bösendorfer,стандарт,Расстояние абника от струн в дискантах,2.5,мм,4,Forss 2009
Aug. Förster,стандарт,Расстояние абника от струн в дискантах,4,мм,6,Forss 2009
Baldwin,стандарт,Расстояние абника от уровня ауслезунга в басах,1.6,мм,1,Forss 2009
Bechstein,стандарт,Расстояние абника от уровня ауслезунга в басах,2,мм,2,Forss 2009
Blüthner,стандарт,Расстояние абника от уровня ауслезунга в басах,1.5,мм,3a,Forss 2009
Blüthner,патентованная механика,Расстояние абника от уровня ауслезунга в басах,1.5,мм,3b,Forss 2009
Fazioli,стандарт,Расстояние абника от уровня ауслезунга в басах,2.0,мм,5,Forss 2009
Aug. Förster,стандарт,Расстояние абника от уровня ауслезунга в басах,2,мм,6,Forss 2009
Grotrian-Steinweg,стандарт,Расстояние абника от уровня ауслезунга в басах,2,мм,7a,Forss 2009
Grotrian-Steinweg,ранние механики,Расстояние абника от уровня ауслезунга в басах,2,мм,7b,Forss 2009
Rud. Ibach,стандарт,Расстояние абника от уровня ауслезунга в басах,2,мм,8,Forss 2009
Baldwin,стандарт,Расстояние абника от уровня ауслезунга в середине,1.6,мм,1,Forss 2009
Bechstein,стандарт,Расстояние абника от уровня ауслезунга в середине,2,мм,2,Forss 2009
Blüthner,стандарт,Расстояние абника от уровня ауслезунга в середине,1.5,мм,3a,Forss 2009
Blüthner,патентованная механика,Расстояние абника от уровня ауслезунга в середине,1.5,мм,3b,Forss 2009
Fazioli,стандарт,Расстояние абника от уровня ауслезунга в середине,2.0,мм,5,Forss 2009
Aug. Förster,стандарт,Расстояние абника от уровня ауслезунга в середине,2,мм,6,Forss 2009
Grotrian-Steinweg,стандарт,Расстояние абника от уровня ауслезунга в середине,1.5,мм,7a,Forss 2009
Grotrian-Steinweg,ранние механики,Расстояние абника от уровня ауслезунга в середине,1.5,мм,7b,Forss 2009
Rud. Ibach,стандарт,Расстояние абника от уровня ауслезунга в середине,2,мм,8,Forss 2009
Baldwin,стандарт,Расстояние абника от уровня ауслезунга в дискантах,1.6,мм,1,Forss 2009
Bechstein,стандарт,Расстояние абника от уровня ауслезунга в дискантах,2,мм,2,Forss 2009
Blüthner,стандарт,Расстояние абника от уровня ауслезунга в дискантах,1.5,мм,3a,Forss 2009
Blüthner,патентованная механика,Расстояние абника от уровня ауслезунга в дискантах,1.5,мм,3b,Forss 2009
Fazioli,стандарт,Расстояние абника от уровня ауслезунга в дискантах,2.0,мм,5,Forss 2009
Aug. Förster,стандарт,Расстояние абника от уровня ауслезунга в дискантах,2,мм,6,Forss 2009
Grotrian-Steinweg,стандарт,Расстояние абника от уровня ауслезунга в дискантах,1.5,мм,7a,Forss 2009
Grotrian-Steinweg,ранние механики,Расстояние абника от уровня ауслезунга в дискантах,1.5,мм,7b,Forss 2009
Rud. Ibach,стандарт,Расстояние абника от уровня ауслезунга в дискантах,2,мм,8,Forss 2009
Baldwin,стандарт,Подхват на фенгер от струн в басах,16,мм,1,Forss 2009
Bechstein,стандарт,Подхват на фенгер от струн в басах,15,мм,2,Forss 2009
Blüthner,стандарт,Подхват на фенгер от струн в басах,15,мм,3a,Forss 2009
Blüthner,патентованная механика,Подхват на фенгер от струн в басах,21,мм,3b,Forss 2009
Bösendorfer,стандарт,Подхват на фенгер от струн в басах,14,мм,4,Forss 2009
Fazioli,стандарт,Подхват на фенгер от струн в басах,15,мм,5,Forss 2009
Aug. Förster,стандарт,Подхват на фенгер от струн в басах,15-16,мм,6,Forss 2009
Grotrian-Steinweg,стандарт,Подхват на фенгер от струн в басах,14,мм,7a,Forss 2009
Rud. Ibach,стандарт,Подхват на фенгер от струн в басах,13,мм,8,Forss 2009
Baldwin,стандарт,Подхват на фенгер от струн в середине,16,мм,1,Forss 2009
Bechstein,стандарт,Подхват на фенгер от струн в середине,15,мм,2,Forss 2009
Blüthner,стандарт,Подхват на фенгер от струн в середине,15,мм,3a,Forss 2009
Blüthner,патентованная механика,Подхват на фенгер от струн в середине,21,мм,3b,Forss 2009
Bösendorfer,стандарт,Подхват на фенгер от струн в середине,14,мм,4,Forss 2009
Fazioli,стандарт,Подхват на фенгер от струн в середине,15,мм,5,Forss 2009
Aug. Förster,стандарт,Подхват на фенгер от струн в середине,15-16,мм,6,Forss 2009
Grotrian-Steinweg,стандарт,Подхват на фенгер от струн в середине,14,мм,7a,Forss 2009
Rud. Ibach,стандарт,Подхват на фенгер от струн в середине,13,мм,8,Forss 2009
Baldwin,стандарт,Подхват на фенгер от струн в дискантах,16,мм,1,Forss 2009
Bechstein,стандарт,Подхват на фенгер от струн в дискантах,15,мм,2,Forss 2009
Blüthner,стандарт,Подхват на фенгер от струн в дискантах,15,мм,3a,Forss 2009
Blüthner,патентованная механика,Подхват на фенгер от струн в дискантах,21,мм,3b,Forss 2009
Bösendorfer,стандарт,Подхват на фенгер от струн в дискантах,14,мм,4,Forss 2009
Fazioli,стандарт,Подхват на фенгер от струн в дискантах,15,мм,5,Forss 2009
Aug. Förster,стандарт,Подхват на фенгер от струн в дискантах,15-16,мм,6,Forss 2009
Grotrian-Steinweg,стандарт,Подхват на фенгер от струн в дискантах,14,мм,7a,Forss 2009
Rud. Ibach,стандарт,Подхват на фенгер от струн в дискантах,13,мм,8,Forss 2009
Bösendorfer,стандарт,Позиция молотков относительно хоров струн,0-2.5,мм,4,Forss 2009
Blüthner,патентованная механика,Нахдрук,0,мм,3b,Forss 2009
Aug. Förster,стандарт,Нахдрук,2,мм,6,Forss 2009
Aug. Förster,стандарт,Усилие репетиционной пружины на вершине репетиционного рычага,6-8,г,6,Forss 2009
Bösendorfer,стандарт,Позиция шпиллера относительно плоскости репетиционного рычага,0.1,мм,4,Forss 2009
Aug. Förster,стандарт,Позиция шпиллера относительно плоскости репетиционного рычага,0.1,мм,6,Forss 2009
Grotrian-Steinweg,стандарт,Позиция шпиллера относительно плоскости репетиционного рычага,0.3,мм,7a,Forss 2009
Aug. Förster,стандарт,Положение шпиллера относительно задней грани керна барабанчика,0,мм,6,Forss 2009
Aug. Förster,стандарт,Зазор между шпиллером и ограничительным польстером после ауслезунга,1,мм,6,Forss 2009
Baldwin,стандарт,Полуход / момент начала подъема демпфера,22,мм,1,Forss 2009
Bösendorfer,стандарт,Полуход / момент начала подъема демпфера,23,мм,4,Forss 2009
Fazioli,стандарт,Полуход / момент начала подъема демпфера,23.5,мм,5,Forss 2009
Aug. Förster,стандарт,Полуход / момент начала подъема демпфера,20,мм,6,Forss 2009
Rud. Ibach,стандарт,Полуход / момент начала подъема демпфера,22,мм,8,Forss 2009
Aug. Förster,стандарт,Расстояние между фильцем клавиш и ложками демпфера в исходном положении,4,мм,6,Forss 2009
Blüthner,патентованная механика,Расстояние до упора демпферных фигур в демпферлейстик при нажатых клавишах,2,мм,3b,Forss 2009
Bösendorfer,стандарт,Расстояние до упора демпферных фигур в демпферлейстик при нажатых клавишах,0.2,мм,4,Forss 2009
Aug. Förster,стандарт,Расстояние до упора демпферных фигур в демпферлейстик при нажатых клавишах,2,мм,6,Forss 2009
Bösendorfer,стандарт,Расстояние до упора демпферных фигур в демпферлейстик при нажатой правой педали,0,мм,4,Forss 2009
Aug. Förster,стандарт,Расстояние до упора демпферных фигур в демпферлейстик при нажатой правой педали,2,мм,6,Forss 2009
Baldwin,стандарт,Расстояние между черными клавишами и шуцлейстиком или фильцем клапа,3.2,мм,1,Forss 2009
Bösendorfer,стандарт,Расстояние между черными клавишами и шуцлейстиком или фильцем клапа,2,мм,4,Forss 2009
Aug. Förster,стандарт,Расстояние между черными клавишами и шуцлейстиком или фильцем клапа,1,мм,6,Forss 2009
Baldwin,стандарт,Минимальный статический игровой вес без демпферов в басах,48-52,г,1,Forss 2009
Bechstein,стандарт,Минимальный статический игровой вес без демпферов в басах,50,г,2,Forss 2009
Blüthner,стандарт,Минимальный статический игровой вес без демпферов в басах,55,г,3a,Forss 2009
Bösendorfer,стандарт,Минимальный статический игровой вес без демпферов в басах,52,г,4,Forss 2009
Aug. Förster,стандарт,Минимальный статический игровой вес без демпферов в басах,52-50,г,6,Forss 2009
Grotrian-Steinweg,стандарт,Минимальный статический игровой вес без демпферов в басах,52,г,7a,Forss 2009
Rud. Ibach,стандарт,Минимальный статический игровой вес без демпферов в басах,52,г,8,Forss 2009
Baldwin,стандарт,Минимальный статический игровой вес без демпферов в середине,48-52,г,1,Forss 2009
Bechstein,стандарт,Минимальный статический игровой вес без демпферов в середине,50,г,2,Forss 2009
Blüthner,стандарт,Минимальный статический игровой вес без демпферов в середине,55,г,3a,Forss 2009
Bösendorfer,стандарт,Минимальный статический игровой вес без демпферов в середине,50,г,4,Forss 2009
Aug. Förster,стандарт,Минимальный статический игровой вес без демпферов в середине,50,г,6,Forss 2009
Grotrian-Steinweg,стандарт,Минимальный статический игровой вес без демпферов в середине,52,г,7a,Forss 2009
Rud. Ibach,стандарт,Минимальный статический игровой вес без демпферов в середине,52,г,8,Forss 2009
Baldwin,стандарт,Минимальный статический игровой вес без демпферов в дискантах,48-52,г,1,Forss 2009
Bechstein,стандарт,Минимальный статический игровой вес без демпферов в дискантах,50,г,2,Forss 2009
